date_time,temperature,humidity,wind_speed,condition,description,icon,pressure,precipitation
2025-12-01T08:00:00,32.5,75.0,22.5,Rainy,Thunderstorm,11d,1008.2,35.8
2025-12-02T08:00:00,33.2,78.0,24.2,Rainy,Heavy rain,10d,1007.5,42.5
2025-12-03T08:00:00,31.8,82.0,25.8,Rainy,Thunderstorm,11d,1006.8,38.2
2025-12-04T08:00:00,30.5,85.0,26.5,Rainy,Heavy rain,10d,1006.2,45.7
2025-12-05T08:00:00,29.2,87.0,27.8,Rainy,Extreme rain,10d,1005.5,52.3
2025-12-06T08:00:00,30.0,84.0,25.5,Rainy,Heavy rain,10d,1006.5,40.5
2025-12-07T08:00:00,31.5,80.0,23.2,Rainy,Thunderstorm,11d,1007.8,32.8
2025-12-08T08:00:00,32.8,76.0,21.5,Cloudy,Overcast clouds,04d,1009.2,18.5
2025-12-09T08:00:00,33.5,72.0,19.8,Partly Cloudy,Scattered clouds,03d,1010.5,8.2
2025-12-10T08:00:00,34.2,68.0,17.5,Partly Cloudy,Few clouds,02d,1011.8,2.5
2025-12-11T08:00:00,35.0,65.0,15.2,Sunny,Clear sky,01d,1012.5,0.0
2025-12-12T08:00:00,35.8,62.0,14.5,Sunny,Clear sky,01d,1013.0,0.0
2025-12-13T08:00:00,36.2,60.0,13.8,Sunny,Clear sky,01d,1013.5,0.0
2025-12-14T08:00:00,35.5,63.0,14.2,Sunny,Clear sky,01d,1013.2,0.0
2025-12-15T08:00:00,34.8,66.0,15.5,Partly Cloudy,Few clouds,02d,1012.5,0.5
2025-12-16T08:00:00,33.5,70.0,17.8,Cloudy,Scattered clouds,03d,1011.2,5.8
2025-12-17T08:00:00,32.2,74.0,20.5,Rainy,Light rain,10d,1009.8,15.5
2025-12-18T08:00:00,31.0,78.0,22.8,Rainy,Moderate rain,10d,1008.5,25.8
2025-12-19T08:00:00,30.5,82.0,24.5,Rainy,Heavy rain,10d,1007.5,38.5
2025-12-20T08:00:00,31.8,79.0,23.2,Rainy,Thunderstorm,11d,1008.2,32.2
2025-12-21T08:00:00,33.0,75.0,21.5,Cloudy,Overcast clouds,04d,1009.5,16.5
2025-12-22T08:00:00,34.5,71.0,19.2,Partly Cloudy,Scattered clouds,03d,1011.0,6.8
2025-12-23T08:00:00,35.2,68.0,17.5,Partly Cloudy,Few clouds,02d,1012.2,1.5
2025-12-24T08:00:00,36.0,65.0,15.8,Sunny,Clear sky,01d,1013.0,0.0
2025-12-25T08:00:00,35.5,67.0,16.5,Sunny,Clear sky,01d,1012.8,0.0
2025-12-26T08:00:00,34.2,70.0,18.2,Partly Cloudy,Few clouds,02d,1011.8,3.2
2025-12-27T08:00:00,33.0,74.0,20.8,Cloudy,Scattered clouds,03d,1010.5,12.5
2025-12-28T08:00:00,31.8,78.0,22.5,Rainy,Moderate rain,10d,1009.2,28.8
2025-12-29T08:00:00,32.5,76.0,21.2,Rainy,Light rain,10d,1009.8,18.5
2025-12-30T08:00:00,33.8,72.0,19.5,Partly Cloudy,Scattered clouds,03d,1011.0,8.2
2025-12-31T08:00:00,34.5,69.0,17.8,Partly Cloudy,Few clouds,02d,1012.0,2.5

